"Ano","Trimestre","UF","V1022","V2007","V2009","V2010","VD2003","VD3005","VD4016"
"2021","1","São Paulo","Urbana","Homem",43,"Parda",3,"16 anos ou mais de estudo",1400
"2021","1","Mato Grosso do Sul","Urbana","Mulher",28,"Branca",5,"14 anos de estudo",2000
"2021","1","Paraná","Urbana","Mulher",59,"Branca",6,"12 anos de estudo",NA
"2021","1","Goiás","Urbana","Mulher",65,"Branca",2,"5 anos de estudo",NA
"2021","1","Espírito Santo","Urbana","Mulher",42,"Branca",4,"16 anos ou mais de estudo",8000
"2021","1","Pará","Urbana","Homem",9,"Branca",5,"3 anos de estudo",NA
"2021","1","Goiás","Urbana","Homem",6,"Parda",4,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Rio de Janeiro","Urbana","Mulher",7,"Branca",4,"1 ano de estudo",NA
"2021","1","Alagoas","Urbana","Mulher",8,"Parda",6,"2 anos de estudo",NA
"2021","1","Alagoas","Urbana","Homem",33,"Parda",2,"8 anos de estudo",1000
"2021","1","Roraima","Urbana","Mulher",4,"Branca",3,NA,NA
"2021","1","Espírito Santo","Urbana","Mulher",37,"Preta",3,"16 anos ou mais de estudo",800
"2021","1","Mato Grosso do Sul","Urbana","Homem",35,"Parda",3,"12 anos de estudo",NA
"2021","1","Paraíba","Urbana","Mulher",39,"Parda",4,"16 anos ou mais de estudo",2000
"2021","1","Paraná","Urbana","Homem",73,"Parda",2,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Alagoas","Rural","Homem",7,"Parda",4,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Santa Catarina","Urbana","Mulher",1,"Parda",5,NA,NA
"2021","1","Maranhão","Urbana","Mulher",12,"Branca",3,"6 anos de estudo",NA
"2021","1","Maranhão","Urbana","Mulher",42,"Parda",4,"12 anos de estudo",NA
"2021","1","Paraíba","Urbana","Homem",51,"Branca",4,"9 anos de estudo",5000
"2021","1","Maranhão","Rural","Mulher",34,"Parda",4,"12 anos de estudo",NA
"2021","1","Minas Gerais","Urbana","Homem",20,"Branca",4,"9 anos de estudo",400
"2021","1","São Paulo","Urbana","Homem",22,"Branca",4,"12 anos de estudo",NA
"2021","1","Amazonas","Rural","Homem",72,"Parda",1,"Sem instrução e menos de 1 ano de estudo",600
"2021","1","Rio Grande do Sul","Urbana","Homem",20,"Branca",2,"12 anos de estudo",525
"2021","1","Bahia","Urbana","Homem",0,"Parda",3,NA,NA
"2021","1","São Paulo","Urbana","Homem",15,"Branca",6,"8 anos de estudo",NA
"2021","1","Ceará","Urbana","Homem",44,"Branca",2,"12 anos de estudo",1100
"2021","1","Mato Grosso","Urbana","Homem",69,"Parda",2,"1 ano de estudo",NA
"2021","1","São Paulo","Urbana","Homem",33,"Branca",3,"12 anos de estudo",3300
"2021","1","Goiás","Urbana","Homem",34,"Parda",2,"13 anos de estudo",3500
"2021","1","Amazonas","Urbana","Homem",4,"Parda",6,NA,NA
"2021","1","Pernambuco","Urbana","Mulher",44,"Preta",3,"5 anos de estudo",NA
"2021","1","Alagoas","Rural","Mulher",23,"Parda",3,"10 anos de estudo",NA
"2021","1","Mato Grosso do Sul","Rural","Homem",56,"Parda",2,"5 anos de estudo",1500
